row_index,tweet_text,allam_interpretation,two_stage_label,plain_gemma_label,changed
0,لازم ندزلكم من عندنا كويتيه منقبه سيارتها كورلا وتكون عينه تجريبيه واذا اقتنعتوا راح اشيل شاربي بقزازه #قيادة_المرأة_السعودية,الكاتب يستخدم أسلوب السخرية في التغريدة، حيث يعرض صفقة تتضمن إرسال سيارة كورية من نوع كورلا مع سائق من الكويت. السائق سيكون مرتديًا النقاب (غطاء الرأس التقليدي للنساء في بعض الثقافات)، وسيتم اختبار السيارة قبل الموافقة على الصفقة. الكاتب يستخدم هذا الأسلوب للسخرية من المجتمع الذي يضع شروطًا على النساء بشأن مظهرهن أو قيادتهن للسيارة. التغريدة تحمل نبرة ساخرة وتبدو كأنها عرض تجاري ساخر.,Favor,Favor,False
1,#المراه_السعوديه_تسوق بصصصصصصيح ابغا أسوِّق خخخخخخخخخخييييييععععععر؟,الكاتب يستخدم السخرية في هذا التغريدة. الكاتب يتظاهر بالجدية حول موضوع قيادة المرأة السعودية للسيارة، لكنه في الحقيقة لا يأخذ الأمر بجدية ويستخدم السخرية للتعبير عن مشاعر مختلطة حول هذا الموضوع. قد يكون الكاتب يمزح أو يمزح بطريقة مبالغ فيها.,Against,Against,False
2,#المراه_السعوديه_تسوق الناس تتلفت بكل اشاره😂,"الكاتب يستخدم الوسم #المراه_السعوديه_تسوق في تغريدته. التغريدة تشير إلى أن النساء في المملكة العربية السعودية يقدن السيارات، وهو أمر أصبح ممكناً منذ يونيو 2018. تعبير ""الناس تتلفت بكل اشاره"" يعني أن الناس ينظرون بتمعن إلى الإشارات المرورية، مما يعكس دهشة أو استغراب من رؤية امرأة تقود السيارة. النبرة في هذه التغريدة تبدو ساخرة أو مرحة، حيث أن استخدام تعبير ""😂"" يشير إلى أن الكاتب يجد الأمر مضحكاً أو ممتعاً.",Favor,Favor,False
3,ما محظوظ الا عادل الجبير! من يوم غد اصبح بامكانه قيادة السيارة *_^ #المراه_السعوديه_تسوق,الكاتب يعبر عن إعجابه بعادل الجبير، مشيرًا إلى أنه الشخص الوحيد في السعودية الذي يعتبره محظوظًا، لأنه أصبح قادرًا على قيادة السيارة منذ الغد، وهو ما يتماشى مع التغييرات الأخيرة في القوانين التي سمحت للنساء بقيادة السيارات في المملكة. يستخدم الكاتب رمزاً تعبيرياً *_^ ليعكس شعوره الإيجابي تجاه هذا التغيير، مما يوحي بأنه يرى في ذلك خطوة إيجابية نحو المزيد من الحرية للنساء في المملكة.,Favor,Against,True
4,#لن_تقودي لن تقود أمي لن تقود أختي لن تقود قريبتي أنا سأخدمهم بنفسي وبكل ما يطلبون . ولن أتزوج فتاة تقود السيارة أو تشترط ذلك,"التغريدة تقول: ""لن تقود أمي، لن تقود أختي، لن تقود قريبتي. أنا سأخدمهم بنفسي وبكل ما يطلبون. ولن أتزوج فتاة تقود السيارة أو تشترط ذلك.""

النغمة هنا هي نغمة استهجان ورفض واضح لموضوع قيادة المرأة للسيارة في المملكة العربية السعودية. الكاتب يستخدم السخرية والتهكم للتعبير عن استيائه من فكرة أن النساء يجب أن يقدن السيارات. في هذا السياق، التغريدة تعكس رفضًا قويًا لأي امرأة تقود السيارة أو تشترط ذلك في الزواج. الكاتب يعبر عن استعداده لتولي مسؤوليات المرأة بنفسه ويرفض فكرة أن النساء يجب أن يقدن السيارات أو أن يكون لديهن هذا الشرط في الزواج.",Against,Against,False
5,ليش #لن_تقودي ماعم افهم من حقا تقود مو سيارة لازم تقود بلاد اكبر مثال #زنوبيا,"الكاتب يستخدم الوسم #لن_تقودي، والذي يعني ""لن تقودي"" في السعودية العربية، للإشارة إلى حظر قيادة النساء قبل عام 2018. في هذه التغريدة، يسأل الكاتب ""ليش"" (لماذا) #لن_تقودي لا يفهم من يقود البلاد حقًا، مشيرًا إلى أن البلاد أكبر من أن تدار بسيارة واحدة فقط. ثم يذكر اسم زنوبيا، وهي ملكة شهيرة في التاريخ القديم، لتوضيح وجهة نظره. الكاتب يستخدم هذا الوسم بطريقة ساخرة أو متحدية، كما لو أنه يقول إن الأشخاص الذين يقودون البلاد يجب أن يكونوا أكبر من السيارة.",Favor,Favor,False
6,#لن_تقودي. ان شاء الله نقود حالنا حال شعوب العالم واكيد راح يكون فيه شروط مو عبث وانتو تعودتو الشارع لكم ليه لازم نشارككم ☺️☺️🌹,"الكاتب هنا يستخدم السخرية والتهكم في التغريدة. الكاتب يلمح إلى أن الحظر المفروض على قيادة النساء في السعودية ليس إلا إزعاجاً زائداً. يشير إلى أن النساء في المملكة سيقمن بالقيادة في المستقبل القريب، تماماً مثل شعوب العالم الأخرى. كما يستخدم الكاتب كلمة ""مو عبث"" بطريقة ساخرة ليشير إلى أن الشروط ستكون موجودة، وهو يمزح بأن الرجال اعتادوا على احتكار الشوارع، لذا لا ينبغي على النساء أن يشاركوهم.",Favor,Against,True
7,#لن_تقودي نقود او لا وشدخلكم ياخي قاعدين على قلوبكم؟🙃,"الكاتب هنا يستخدم السخرية للتعبير عن استيائه من الأشخاص الذين يتدخلون في شؤون لا تخصهم. الجملة ""نقود او لا"" تشير إلى موضوع قيادة المرأة، والذي تم حظره في السعودية قبل رفع الحظر في عام 2018. الكاتب يتساءل بسخرية عن سبب اهتمام الآخرين بهذا الموضوع، ويقول ""شدخلكم"" بمعنى ""ما دخلكم"". استخدام عبارة ""قاعدون على قلوبكم"" يشير إلى أنهم يجلسون بلا عمل ويتدخلون في أمور ليست من شأنهم.",Favor,Favor,False
8,وسقتي وبعدين يعني ؟؟ بتدخلين الجنه مثلاً ؟ وبعدين وش هالسواقه الي آخر الليل ..! الله يستر على المسلمات العفيفات .. #المراه_السعوديه_تسوق,"الكاتب هنا يستخدم سخرية واضحة في تعليقه على قيادة المرأة السعودية للسيارة في وقت متأخر من الليل، ويبدو أنه يشعر بالقلق من العواقب المحتملة. التغريدة تحتوي على تعبيرات مثل ""وسقتي وبعدين يعني؟"" و""الله يستر على المسلمات العفيفات"" التي تعبر عن السخرية من السماح للنساء بالقيادة في هذا الوقت، وكذلك القلق من أن هذا قد يؤدي إلى مشاكل أو مشكلات.

الكاتب يبدو متشككًا وربما ساخرًا من التغييرات الحديثة في المجتمع السعودي، حيث يشير إلى أن السماح للنساء بالقيادة لا يعني بالضرورة أنهن سيتركن إلى الجنة. يستخدم الكاتب هذه السخرية ليخفي خلفه مشاعر القلق وعدم الرضا عن الوضع الحالي.",Against,Against,False
9,#المراه_السعوديه_تسوق قيادة المرأة للسيارة تمكنها من إغاثة نفسها وقضاء أمورها العاجلة دون انتظار وصول الآخرين لها، أو الاضطرار للركوب مع سائق غريب عنها. يتبع,الكاتب يعبر في هذه التغريدة عن موقف إيجابي تجاه قيادة المرأة للسيارة في السعودية. التغريدة تشير إلى أن القيادة ستتيح للمرأة السعودية إغاثة نفسها وقضاء أمورها العاجلة دون الحاجة إلى انتظار الآخرين أو الاضطرار للركوب مع سائق غريب عنها. الكاتب يستخدم هذه التغريدة لدعم أو تأييد قيادة المرأة للسيارة، ولكن ليس بالضرورة بشكل مباشر.,Favor,Favor,False
